File_Name,PSNR_dB,SSIM,LPIPS
000160.png,30.8436,0.9349,0.2184
000161.png,30.3552,0.9317,0.2676
000162.png,29.8999,0.9324,0.2612
000163.png,30.8293,0.9437,0.2567
000164.png,25.1905,0.7936,0.4165
000165.png,29.5979,0.8723,0.3263
000166.png,29.5146,0.8504,0.3565
000167.png,29.9371,0.8508,0.3412
000168.png,24.1632,0.8016,0.395
000169.png,32.021,0.7811,0.5602
000170.png,32.1748,0.7925,0.5576
000171.png,33.5116,0.874,0.4885
000172.png,27.1881,0.5389,0.6072
000173.png,23.3979,0.3346,0.7188
000174.png,24.0831,0.3414,0.7492
000175.png,23.6825,0.3463,0.7046
000176.png,24.1818,0.7609,0.3596
000177.png,25.6841,0.4215,0.7247
000178.png,29.8625,0.5697,0.7089
000179.png,26.0703,0.4175,0.7781
000180.png,36.3435,0.9179,0.2943
000181.png,28.6585,0.7713,0.3585
000182.png,27.9593,0.776,0.3573
000183.png,27.822,0.7702,0.3408
000184.png,23.4805,0.7169,0.4029
000185.png,32.4566,0.9316,0.3112
000186.png,31.1626,0.9207,0.3268
000187.png,31.3341,0.9216,0.3159
000188.png,24.6458,0.8025,0.4085
000189.png,24.6819,0.832,0.3261
000190.png,25.0134,0.8349,0.3376
000191.png,25.221,0.8269,0.3328
000192.png,27.8307,0.8544,0.5384
000193.png,27.2878,0.9164,0.2106
000194.png,27.9366,0.9213,0.2109
000195.png,28.3328,0.9251,0.2158
000196.png,24.3921,0.7709,0.4057
000197.png,28.2566,0.8602,0.3627
000198.png,27.5737,0.8364,0.3778
000199.png,27.0782,0.8289,0.374
000200.png,26.7685,0.4477,0.71
000201.png,31.3898,0.7321,0.557
000202.png,32.2858,0.7648,0.5597
000203.png,32.8093,0.7719,0.5776
000204.png,24.1187,0.8494,0.446
000205.png,22.3714,0.806,0.3392
000206.png,21.0405,0.7786,0.3347
000207.png,21.6391,0.803,0.3152
000208.png,31.522,0.7823,0.4838
000209.png,30.5414,0.7451,0.4977
000210.png,31.2095,0.7666,0.4857
000211.png,31.2873,0.7876,0.4638
000212.png,29.7741,0.9102,0.2883
000213.png,34.4942,0.8754,0.3772
000214.png,36.0182,0.9002,0.3557
000215.png,36.2438,0.9118,0.3462
000216.png,29.7666,0.9106,0.2104
000217.png,29.591,0.8467,0.3787
000218.png,30.4087,0.8599,0.3799
000219.png,31.1848,0.8758,0.3743
000220.png,32.868,0.7994,0.4708
000221.png,23.1861,0.7544,0.371
000222.png,24.5383,0.7741,0.3548
000223.png,21.8143,0.8263,0.3036
000224.png,24.4659,0.5171,0.5838
000225.png,26.4498,0.5617,0.5368
000226.png,25.0054,0.5308,0.5582
000227.png,25.2658,0.5323,0.5843
000228.png,18.3351,0.8093,0.2492
000229.png,20.6467,0.8224,0.3528
000230.png,20.4772,0.8006,0.3625
000231.png,21.1804,0.8053,0.3693
000232.png,21.6092,0.7549,0.3913
000233.png,22.9854,0.7316,0.3557
000234.png,23.2272,0.7369,0.3736
000235.png,23.1161,0.7381,0.3783
000236.png,28.2564,0.8327,0.3607
000237.png,26.195,0.8528,0.343
000238.png,26.4747,0.8401,0.3484
000239.png,27.3601,0.8546,0.3398
000240.png,23.1374,0.8407,0.375
000241.png,34.2928,0.9356,0.3804
000242.png,34.7693,0.9437,0.3475
000243.png,35.4219,0.9526,0.3382
000244.png,19.7826,0.7786,0.3503
000245.png,27.086,0.8437,0.5626
000246.png,25.7605,0.8563,0.5625
000247.png,26.311,0.8548,0.5721
000248.png,28.2398,0.8476,0.35
000249.png,22.5492,0.7901,0.3175
000250.png,21.543,0.776,0.3496
000251.png,22.7054,0.7912,0.3257
000252.png,28.4463,0.8032,0.4303
000253.png,29.3646,0.8575,0.4346
000254.png,28.9558,0.8347,0.4482
000255.png,29.6082,0.8623,0.4439
000256.png,24.0163,0.8459,0.336
000257.png,20.4303,0.799,0.3389
000258.png,21.0342,0.8207,0.2999
000259.png,21.2804,0.8344,0.3059
000260.png,25.1606,0.7952,0.3267
000261.png,28.7341,0.8512,0.3292
000262.png,27.6684,0.8555,0.2893
000263.png,27.91,0.8362,0.3044
000264.png,23.9228,0.8316,0.4094
000265.png,32.1383,0.8731,0.4602
000266.png,32.0229,0.8712,0.4659
000267.png,30.8759,0.8579,0.4356
000268.png,32.2718,0.8499,0.4265
000269.png,26.3697,0.8241,0.4104
000270.png,26.8246,0.8397,0.382
000271.png,26.6799,0.8355,0.3906
000272.png,20.1087,0.7873,0.3719
000273.png,24.7456,0.3792,0.7382
000274.png,24.0286,0.3674,0.7181
000275.png,24.9911,0.3729,0.7806
000276.png,36.4961,0.9133,0.3454
000277.png,35.3346,0.9554,0.1856
000278.png,33.1354,0.9373,0.2182
000279.png,33.4776,0.9335,0.2367
000280.png,21.603,0.8159,0.3628
000281.png,25.5497,0.8738,0.3156
000282.png,26.1194,0.8669,0.3253
000283.png,25.6068,0.8841,0.3145
000284.png,22.6629,0.769,0.4495
000285.png,30.2841,0.8108,0.4885
000286.png,29.8135,0.8048,0.4851
000287.png,31.4857,0.7892,0.5042
000288.png,27.1609,0.8475,0.3787
000289.png,24.7206,0.7382,0.3843
000290.png,22.6245,0.7349,0.373
000291.png,23.1432,0.7469,0.3643
000292.png,31.943,0.9356,0.3117
000293.png,25.9136,0.4083,0.7363
000294.png,25.4648,0.4072,0.7065
000295.png,25.0517,0.3988,0.7114
000296.png,24.4524,0.7788,0.3461
000297.png,24.5155,0.7685,0.405
000298.png,24.6509,0.7632,0.4235
000299.png,25.2979,0.811,0.3856
000300.png,26.1832,0.4498,0.5295
000301.png,29.4061,0.7323,0.2426
000302.png,30.772,0.6832,0.2408
000303.png,30.456,0.6596,0.2517
000304.png,28.4207,0.8697,0.3168
000305.png,28.5182,0.7875,0.3993
000306.png,28.2104,0.7826,0.4075
000307.png,28.9536,0.8072,0.4013
000308.png,33.3065,0.9285,0.3301
000309.png,26.4226,0.7445,0.4633
000310.png,26.9772,0.7511,0.462
000311.png,26.6957,0.7455,0.4512
000312.png,22.519,0.8545,0.3384
000313.png,34.0051,0.8346,0.5164
000314.png,34.9588,0.8492,0.495
000315.png,34.0565,0.8467,0.5092
000316.png,30.7554,0.7484,0.6483
000317.png,23.4058,0.6109,0.5399
